Id,SalePrice
2658,131278.58001947033
2718,158783.97657845888
2414,228963.0398545933
1989,119028.06715987835
625,181115.78061227992
333,76734.95584342338
1327,102882.7038590388
858,148710.9839070811
95,165872.84382769707
1568,170008.98214749197
2482,135445.9460519928
1364,122349.65191912782
2584,148523.09182639557
818,284571.4534801439
2673,120404.90596553075
2089,106660.82264268916
1297,183438.8806607698
790,121245.87322389722
2616,205803.37321880265
720,177060.6003425308
222,157082.3683592349
557,132164.42236790856
1148,160128.59532883836
2766,194768.84382771215
534,178944.94413507482
1452,122636.25709129035
630,131372.3786919058
2648,116364.08650703382
125,160316.68512072685
1904,73604.65224345875
1670,93494.15233150276
756,104222.03999726914
717,185267.60454734866
1032,155830.55186702844
852,205255.16881407218
1731,177899.09950266706
2639,112231.51903923077
2071,87474.29994342668
1267,167941.99521765966
1851,207726.9035777238
567,166790.29116561587
2439,202284.87668457764
1898,162716.88892560886
647,147282.24902274265
2256,185597.11908119425
979,96798.63021117443
1444,220287.54780588552
2485,143627.42965681016
157,129109.04051322551
88,110119.66022143618
2003,100514.65402592081
186,222914.28343325233
1425,248501.46274117453
2695,122483.29663740654
738,88984.52614899233
395,160560.16636185147
1353,175526.94215484787
1878,146890.9129050536
390,166020.13282014514
1456,232260.25664158133
1103,324486.1558502525
1387,111745.10585875626
2070,140171.42758525643
1199,162722.85534094696
2479,187126.95544026713
501,332350.28802703123
2362,96050.63422158099
1718,223341.76433988244
2188,95388.28957324105
1483,147716.8620456767
2557,110552.75658828876
437,362831.78016539535
2224,188057.82155638843
1628,170670.22003127213
397,137396.1771229749
587,182180.1881940631
971,167058.6154139204
2611,120406.31783072356
1887,103519.11526226322
2399,387475.33209537517
2148,197100.58024894385
304,124229.34511347595
1997,120837.87818274644
2817,120954.70625100253
1431,231922.19879598563
427,346162.19404430396
263,137773.82567663302
598,177901.6720219331
2895,222343.01856773128
687,131332.96707611703
1822,134432.69549356648
2191,105592.27419051193
179,119617.04856276911
1009,255942.49991992136
2010,131244.37792563633
1991,129506.71345903762
1411,162863.35465637254
1721,223818.1039841786
1144,200040.43939974057
593,215512.44460445
575,295433.8632366777
1249,185071.290308108
1604,133144.60908733358
1064,445470.6889229255
1923,139134.08131934176
1988,112959.30354747255
2325,165455.17414861437
114,206362.75106981435
2700,151656.58868994107
217,133642.16560254476
